,stop_from_name,stop_to_name,route_type,weight
0,"AHr Km 11,485",Mstětice,2,329
58,"AHr Km 11,485","vl.v km 9,980",2,319
110,Albertov,Botanická zahrada,0,3113
854,Albertov,Ostrčilovo náměstí,0,5093
2056,Albertov,Výtoň,0,1700
2470,Ametystová,Živcová,3,193
2513,Amforová,Luka,3,1661
2929,Amforová,Píškova,3,833
3130,Amforová,Raichlova,3,741
3324,Amforová,Velká Ohrada,3,63
3333,Anděl,Arbesovo náměstí,0,4345
3754,Anděl,Arbesovo náměstí,3,10
4516,Anděl,Bertramka,0,7207
6289,Anděl,Karlovo náměstí,1,1799
6814,Anděl,Klamovka,3,1936
7303,Anděl,Křížová,0,1258
7614,Anděl,Laurová,3,63
7623,Anděl,Na Knížecí,0,5099
7640,Anděl,Na Knížecí,3,3311
9596,Anděl,Santoška,3,63
9605,Anděl,Smíchovské nádraží,1,1806
10139,Anděl,Zborovská,0,7229
11640,Anděl,Zborovská,3,1456
12070,Antala Staška,Poliklinika Budějovická,3,1881
12558,Antala Staška,Ryšánka,3,2183
13114,Apolinářská,Na Bojišti,3,368
13205,Apolinářská,Větrov,3,368
13296,Arbesovo náměstí,Anděl,0,4333
13717,Arbesovo náměstí,Anděl,3,1340
14733,Arbesovo náměstí,Jiráskovo náměstí,3,780
14921,Arbesovo náměstí,Švandovo divadlo,0,4345
15342,Arbesovo náměstí,Švandovo divadlo,3,2118
16558,Archeologická,Hůrka,3,63
16567,Archeologická,Ovčí hájek,3,1310
16910,Archeologická,Píškova,3,1375
17251,Arena Libeň jih,Nádraží Libeň,0,2836
17961,Arena Libeň jih,Ocelářská,0,2212
18520,Argentinská,Jankovcova,3,168
18547,Argentinská,Osadní,3,145
18576,Argentinská,Vltavská,3,271
18625,Avia Letňany,Staré Letňany,3,1953
19119,Avia Letňany,Sídliště Letňany,3,1971
19621,Baba I,Baba II,3,312
19696,Baba I,Hornocholupická,3,282
19765,Baba II,Baba I,3,282
19834,Baba II,K Vystrkovu,3,312
19909,Babice,"Babice,U hřiště",3,145
19944,Babice,"Říčany,Strašín",3,180
19992,Babice,"Říčany,Strašín,Rest.",3,45
20001,"Babice,Babičky","Babice,U hřiště",3,230
20059,"Babice,Babičky",Doubek,3,145
20094,"Babice,U hřiště",Babice,3,230
20152,"Babice,U hřiště","Babice,Babičky",3,145
20187,Babín odbočka,Nymburk předj.n.,2,384
20259,Babín odbočka,Velké Zboží,2,393
20334,Bachova,Litochlebské náměstí,3,902
20646,Bachova,Mikulova,3,1940
21147,Bachova,Opatov,3,641
21312,Bahno,Krasoňovice,2,83
21329,Bahno,Předbořice,2,83
21343,"Bakov n.Jiz.,Buda","Bakov n.Jiz.,Zájezdy",3,45
21352,"Bakov n.Jiz.,Buda","Kněžmost,Býčina",3,50
21362,"Bakov n.Jiz.,Chudoplesy","Bakov n.Jiz.,Trenčín",3,252
21422,"Bakov n.Jiz.,Chudoplesy","Kosmonosy,nemocnice",3,229
21479,"Bakov n.Jiz.,Horka","Bakov n.Jiz.,Pražská",3,45
21488,"Bakov n.Jiz.,Horka","Bakov n.Jiz.,Zájezdy",3,50
21498,"Bakov n.Jiz.,Komenského sady","Bakov n.Jiz.,žel.zast.",3,209
21551,"Bakov n.Jiz.,Komenského sady","Mnichovo Hradiště,Veselá",3,232
21607,"Bakov n.Jiz.,Malá Bělá,U splávku","Bakov n.Jiz.,Malá Bělá,mlýn",3,50
21617,"Bakov n.Jiz.,Malá Bělá,U splávku","Bakov n.Jiz.,Velký Rečkov",3,45
21626,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,Malá Bělá,U splávku",3,45
21635,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,Podhradí,žel.st.",3,5
21636,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,nám.",3,70
21650,"Bakov n.Jiz.,Malá Bělá,mlýn","Bítouchov,Dolánky,na kopci",3,25
21655,"Bakov n.Jiz.,Podhradí","Bakov n.Jiz.,Podhradí,žel.st.",3,50
21665,"Bakov n.Jiz.,Podhradí","Bítouchov,Dalešice",3,50
21675,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,Malá Bělá,mlýn",3,5
21676,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,Podhradí",3,50
21686,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,nám.",3,40
21694,"Bakov n.Jiz.,Podhradí,žel.st.","Bítouchov,Dolánky",3,5
21695,"Bakov n.Jiz.,Pražská","Bakov n.Jiz.,Horka",3,50
21705,"Bakov n.Jiz.,Pražská","Bakov n.Jiz.,Trenčín",3,45
21714,"Bakov n.Jiz.,Pražská","Kosmonosy,nemocnice",3,129
21756,"Bakov n.Jiz.,Pražská","Mnichovo Hradiště,nám.",3,121
21792,"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,Chudoplesy",3,229
